209		-547		-355	0
257		-475		-720	1
200		-495		-99	2
323		-544		-532	3
320		-535		-647	4
250		-571		-536	5
297		-580		-382	6
231		-252		-312	7
117		-3809		607	8
1426		269		-1044	9
223		-349		-560	10
343		-1227		-436	11
399		-636		-580	12
365		-574		-453	13
286		-531		-496	14
363		-288		-413	15
168		-501		-513	16
344		-578		-426	17
393		-433		-424	18
294		-548		-683	19
350		-556		-558	20
-197		-591		-593	21
301		-715		-450	22
305		-372		-583	23
277		-300		-394	24
363		-622		-441	25
102		-393		-924	26
137		-416		-541	27
303		-460		-553	28
96		-346		-281	29
310		-741		-604	30
275		-496		-626	31
383		-613		-383	32
171		-704		-751	33
74		-370		-305	34
250		-479		-392	35
219		-498		-437	36
317		-338		-569	37
349		-595		-458	38
384		-553		-432	39
343		-612		-687	40
322		-586		-739	41
276		-457		-313	42
293		-524		-559	43
331		-561		-767	44
199		-426		-437	45
284		-492		-387	46
291		-616		-656	47
266		-622		-509	48
229		-759		-556	49
0		-507		-293	50
55		-340		-319	51
290		-531		-220	52
111		-407		-413	53
240		-518		-249	54
318		-596		-627	55
244		-435		-362	56
340		-781		-840	57
342		-335		-334	58
328		-575		-582	59
232		-517		-523	60
297		-544		-342	61
278		-614		-594	62
288		-612		-708	63
294		-304		-395	64
